"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Hersteller";"Teilnummer";"Octopartnummer";"Datenblatt";"Anbieter Haupt";"Anbieter Neben";"Notiz";
24;"D8";"LED_0805";1;"WHITE";"Bivar, Incorporated";"SM0805UWC";"7866698";"https://www.bivar.com/portals/0/products/SM0805UWC.pdf";"https://www.arrow.com/en/products/sm0805uwc/bivar/";"https://www.mouser.com/ProductDetail/Bivar/SM0805UWC/";"Can be replaced with blue colour.";
25;"Q1";"SOT-23";1;"MOSFET";"Diodes, Incorporated";"DMG2302UK-7";"73850182";"https://www.diodes.com/assets/Datasheets/DMG2302UK.pdf";"https://www.arrow.com/en/products/dmg2302uk-7/diodes-incorporated/";"https://lcsc.com/product-detail/MOSFET_Diodes-Incorporated_DMG2302U-7_Diodes-Incorporated-DMG2302U-7_C96613.html";"Optional part used for voltage interrupt attack.";
26;"U1";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F405RGTx";"STMicroelectronics N.V.";"STM32F405RGT6";"20570101";"https://www.st.com/resource/en/datasheet/stm32f405og.pdf";"https://lcsc.com/product-detail/ST-Microelectronics_STMicroelectronics_STM32F405RGT6_STM32F405RGT6_C15742.html";"https://www.mouser.com/ProductDetail/STMicroelectronics/STM32F405RGT6/";"Please migrate the design to STM32L.";
27;"U2";"SOT-23";1;"LN6206P33M";"Shanghai Nanlin Electronics";"LN6206P332MR-G";"ZZZZZZZZ";"http://www.natlinear.com/uploadfiles/2014/LN/LN6206_E.pdf";"https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_NATLINEAR-LN6206P332MR-G_C141407.html";"https://www.digikey.com/product-detail/en/ablic-u-s-a-inc/S-1206B30-M3T1U/1662-1454-2-ND/";;
28;"U3";"DFN-8-1EP_2x3mm_Pitch0.5mm";1;"ATECC608A";"Microchip Technology Incorporated";"ATECC608A-MAHDA-S";"87693656";"https://ww1.microchip.com/downloads/en/DeviceDoc/40001977A.pdf";"https://www.arrow.com/en/products/atecc608a-mahda-s/microchip-technology/";"https://www.mouser.com/ProductDetail/Microchip-Technology/ATECC608A-MAHDA-S/";"Secure element with cryptoaccelerator and secure storage.";
29;"U4";"DFN-8-1EP_2x3mm_Pitch0.5mm";1;"ATAES132A";"Microchip Technology Incorporated";"ATAES132A-MAHER-T";"77759550";"https://ww1.microchip.com/downloads/en/DeviceDoc/ATAES132A-Data-Sheet-40002023A.pdf";"https://www.arrow.com/en/products/ataes132a-maher-t/microchip-technology/";"https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATAES132A-MAHER-T/";"Secure element with cryptoaccelerator and secure storage.";
30;"U5";"ChipLED-6_2x2mm";1;"LTR303ALS";"Lite-On Technology Corporation";"LTR-303ALS-01";"30504685";"https://optoelectronics.liteon.com/upload/download/DS86-2013-0004/LTR-303ALS-01_DS_V1.pdf";"https://www.arrow.com/en/products/ltr-303als-01/lite-on-technology/";"https://www.mouser.com/ProductDetail/Lite-On/LTR-303ALS-01/";"Optional part used for intrusion detection.";
31;"U6";"LGA-12_2x2mm_P0.5mm";1;"BMA280";"Bosch Sensortec GmbH";"BMA280";"22219870";"https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMA280-DS000.pdf";"https://www.arrow.com/en/products/bma280/bosch/";"https://www.mouser.com/ProductDetail/Bosch-Sensortec/BMA280/";"Optional part used for input tap detection.";
32A;"Y1";"CSMD-4pin_5.0x3.2mm";1;"ABM3BCrystal";"Abracon, LLC";"ABM3B1-32.000MHZ-10-B4Y-T";"91025380";"https://abracon.com/Resonators/abm3b.pdf";"https://www.arrow.com/en/products/abm3b1-32.000mhz-10-b4y-t/abracon/";"https://www.mouser.com/ProductDetail/ABRACON/ABM3B-32000MHz-10-B-1-U-T/";"CL=(C1*C2)/(C1+C2)+CStray... C(1|2) are 10pF or 12pF.";
32B;"Y1";"CSMD-4pin_5.0x3.2mm";1;"ABM3BCrystal";"Abracon, LLC";"ABM3B-32.000MHZ-B2-T";"315528";"https://abracon.com/Resonators/abm3b.pdf";"https://www.arrow.com/en/products/abm3b-32.000mhz-b2-t/abracon/";"https://www.futureelectronics.com/p/5950043/";"C(1|2) are 26pF, modify accordingly.";
33;"SW1,SW2";"SW_SPST_PTS645";2;"SW_SPST";"C&K Components, Incorporated";"PTS645SH50SMTR92LFS";"55397151";"https://www.ckswitches.com/media/1471/pts645.pdf";"https://www.arrow.com/en/products/pts645sh50smtr92lfs/ck/";"https://www.mouser.com/ProductDetail/CK/PTS645SH50SMTR92LFS/";;
34;"SW3";"SW_SPST_Detect";1;"SW_SPST";"Panasonic Electronic Components";"ESE-11MV1T";"15873161";"https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C14.pdf";"https://www.arrow.com/en/products/ese-11mv1t/panasonic/";"https://www.mouser.com/ProductDetail/Panasonic/ESE-11MV1T/";"Optional part used for intrusion detection.";
35;"SW4";"SW_SPDT_CLSB-12A";1;"SW_SPDT";"Nidec Copal Electronics Incorporated";"CL-SB-12A-01T";"77011252";"https://www.nidec-copal-electronics.com/e/catalog/switch/cl-sb.pdf";"https://www.arrow.com/en/products/cl-sb-12a-01t/nidec-copal-electronics/";"https://www.digikey.com/product-detail/en/nidec-copal-electronics/CL-SB-12A-01T/563-1314-1-ND/";"Optional part used for lithium battery switching.";
36;"BT1";"Keystone_1058_1x2032-CoinCell";1;"Battery_Cell";"Keystone Electronics Corporation";"1058TR";"51988716";"https://www.keyelco.com/userAssets/file/M65p4.pdf";"https://www.mouser.com/ProductDetail/Keystone-Electronics/1058TR/";"https://www.rutronik24.com/product/keystone/1058/7546581.html";"Optional part used for power supply in STM32L adaptations.";
37A;"DS1";"Eastrising_ER-CON30HT-1_01x30_P0.50mm";1;"SSD1306";"East Rising Electronics, LTD";"ER-CON30HT-1";"ZZZZZZZZ";"https://www.buydisplay.com/download/connector/ER-CON30HT-1.pdf";"https://www.buydisplay.com/default/30-pin-0-5mm-pitch-top-contact-zif-connector-fpc-connector/";"No alternative, please see Amphenol entry.";"Consider Amphenol dark plastic for PnP.";
37B;"DS1";"SFV30R-4STBE1HLF-1_01x30_P0.50mm";1;"SSD1306";"Amphenol Corporation";"SFV30R-4STBE1HLF";"90462182";"https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/flex/flexconnectors_050mm.pdf";"https://www.arrow.com/en/products/sfv30r-4stbe1hlf/amphenol-fci/";"https://www.mouser.com/ProductDetail/Amphenol-FCI/SFV30R-4STBE1HLF/";"Consider Eastrising for discount price.";
38;"J5";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";"Amphenol Corporation";"12401610E4#2A";"90335555";"https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_type_c.pdf";"https://www.arrow.com/en/products/12401610e42a/amphenol/";"https://www.mouser.com/ProductDetail/Amphenol-Commercial-Products/12401610E42A/";"May be replaced with USB-B on badge adaptations.";
39;"J3";"JST_PH_B2B-PH-K_02x2.00mm_Straight";1;"CONN_01X02";"JST Manufacturing Incorporated";"B2B-PH-K-S(LF)(SN)";"248868";"http://www.jst-mfg.com/product/pdf/eng/ePH.pdf";"https://www.arrow.com/en/products/b2b-ph-k-s-lf-sn/jst-manufacturing/";"https://www.futureelectronics.com/p/interconnect--connectors-pcb--header-plug-board-mount/b2b-ph-k-s-lf-sn-jst-6306179/";"Optional part used for power supply in untethered adaptations.";
40;"J1,J10";"Pin_Header_Straight_1x20_Pitch2.54mm";2;"CONN_HEAD";"Amphenol Corporation";"68001-420HLF";"90352073";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf";"https://www.arrow.com/en/products/68001-420hlf/amphenol-fci/";"https://www.mouser.com/ProductDetail/Amphenol-FCI/68001-420HLF/";"Optional part used for side channel analysis.";
41;"J8";"Pin_Header_Straight_1x14_Pitch2.54mm";1;"CONN_SOUTH";"Amphenol Corporation";"68000-414HLF";"90618608";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf";"https://www.arrow.com/en/products/68000-414hlf/amphenol-fci/";"https://www.mouser.com/ProductDetail/Amphenol-FCI/68000-214HLF/";"Optional part used for side channel analysis.";
42;"JP1";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"Jumper";"Amphenol Corporation";"68001-402HLF";"90333712";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf";"https://www.arrow.com/en/products/68001-402hlf/amphenol-fci/";"https://www.futureelectronics.com/p/interconnect--connectors-pcb--header-plug-board-mount/68001-402hlf-amphenol-icc-fci-basics-4100929/";"Optional part used for reset input.";
43;"TP1";"Pin_Header_Angled_1x01_Pitch2.54mm";1;"GLITCH";;;;;;;"Optional part used for voltage interrupt attack.";
44;"Z1";"Potting_Compound";1;"RTV_103";"MG Chemicals";;;"https://www.mgchemicals.com/products/rtv-silicones/adhesives-/-sealants/rtv103/";"https://www.arrow.com/en/products/rtv103-300ml/mg-chemicals/";"https://www.mouser.com/ProductDetail/MG-Chemicals/RTV103-300ML/";"Optional chemical used for less expensive circuit protection.";
45;"Z2";"Conformal_Coating";1;"Sylgard_184";"Dow Chemical";;;"https://consumer.dow.com/content/dam/dcc/documents/en-us/productdatasheet/11/11-31/11-3184-sylgard-184-elastomer.pdf";"Unknown";"Unknown";"Optional chemical used for more expensive circuit protection.";
